Unique_Investment_Identifier,Business_Case_ID,Agency_Name,Investment_Title,Project_ID,Project_Name,Project_Description,Start_Date,Completion_Date_(B1),Planned_Project_Completion_Date_(B2),Projected/Actual_Project_Completion_Date_(B2),Lifecycle_Cost,Schedule_Variance_(in_days),Schedule_Variance_percentage,Cost_Variance_($M),Cost_Variance_percentage,Planned_Cost_($M),Projected/Actual_Cost_($M),Updated_Date,Updated_Time
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,668,Telecom,,,,,,,0,0,2.0244,84,2.41,0.3856,31/05/2012,14:20:14
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,669,Enterprise Software license optimization,,,,,,,0,0,0,0,10.058,10.058,31/05/2012,14:20:14
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,670,Hardware Maintenance,,,,,,,0,0,0,0,4.268,4.268,30/06/2012,14:56:34
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,671,Enterprise Life Cycle Management,,,,,,,-7,-3.98,0,0,2.23,2.23,01/08/2012,13:21:08
005-000000093,215,Department of Agriculture(5),ATSA - Automated Timber Sale Accounting,1768,Provision O&M Services,,,,,,,0,0,0.4,22.86,1.75,1.35,31/10/2011,10:26:32
005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1092,Program Loan Accounting System (PLAS),,,,,,,0,0,0.109,10.9,1,0.891,30/04/2012,11:14:58
005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1093,Electronic Debt and Loan Restructure System (eDALR$),,,,,,,0,0,0,0,0.35,0.35,30/04/2012,11:14:58
005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1094,Direct Loan System (DLS),,,,,,,0,0,0.087,0.74,11.678,11.591,01/08/2012,13:21:41
005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1095,Farm Loan Program Risk Assessment (FLPRA),,,,,,,0,0,0.004,4,0.1,0.096,30/04/2012,11:14:58
005-000001231,219,Department of Agriculture(5),Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1096,Farm Business Plan (FBP),,,,,,,0,0,0,0,0.44,0.44,30/04/2012,11:14:58
005-000001232,220,Department of Agriculture(5),Consolidated Financial Management Information Systems (CFMIS) #106,1648,Ongoing maintenance of 26 financial systems within AFAO.,,,,,,,0,0,0.2189,3.71,5.9002,5.6813,01/08/2012,13:21:48
005-000001232,220,Department of Agriculture(5),Consolidated Financial Management Information Systems (CFMIS) #106,1649,Maintenance support for FMMI Readiness.,,,,,,,0,0,0.1164,5.05,2.3053,2.1889,01/08/2012,13:21:48
005-000001234,221,Department of Agriculture(5),Consolidated General Sales Manager (CGSM) #107,1650,APLUS Operations and Maintenance,,,,,,,0,0,0.139,36.68,0.379,0.24,31/05/2012,14:20:42
005-000001234,221,Department of Agriculture(5),Consolidated General Sales Manager (CGSM) #107,1651,GSM Operations and Maintenance,,,,,,,0,0,-0.004,-0.36,1.109,1.113,31/05/2012,14:20:42
005-000001234,221,Department of Agriculture(5),Consolidated General Sales Manager (CGSM) #107,1652,GSM Migration,,,,,,,0,0,0.241,16.61,1.451,1.21,01/08/2012,13:21:51
005-000000065,224,Department of Agriculture(5),Enterprise Shared Services,1945,FY2012 Operations.,,,,,,,0,0,16.498,100,16.498,0,26/09/2011,12:26:32
005-000001870,225,Department of Agriculture(5),Farm Program Modernization (MIDAS) #097,1676,Initial Operating Capability (IOC) Deployment,,,,,,,0,0,-3.119485,-2.62,119.099001,122.218486,28/02/2012,11:25:27
005-000001729,226,Department of Agriculture(5),"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684,AGxEDCx,,,,,,,-92,-37.86,0,0,7.276,7.276,28/12/2011,09:29:28
005-000001729,226,Department of Agriculture(5),"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685,O&M,,,,,,,0,0,0,0,16.248,16.248,28/12/2011,09:29:28
005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),1969,FMMI Deployment 3,,,,,,,0,0,-4.965862,-274.18,1.811138,6.777,30/06/2012,14:57:47
005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),2937,FMMI Deployment 3 Wave 1,,,,,,,0,0,-0.583,-36.41,1.601,2.184,01/08/2012,13:22:28
005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),3221,FMMI Deployment 3 Wave 2,,,,,,,0,0,0,0,5.09,5.09,30/06/2012,14:57:46
005-000001425,227,Department of Agriculture(5),Financial Management Modernization Initiative (FMMI),3261,FMMI Deployment 3 Wave 2,,,,,,,0,0,0,0,5.09,5.09,01/08/2012,13:22:28
005-000001718,228,Department of Agriculture(5),FNCS IT Infrastructure,1097,FNCS IT Infrastructure Operations and Maintenance FY2012,,,,,,,0,0,-3.50E-05,0,21.04546,21.045495,01/08/2012,13:22:11
005-000001496,229,Department of Agriculture(5),FPA-P2 - Fire Program Analysis System - Phase 2,1740,FPA-P2 - Fire Program Analysis System - Phase 2,,,,,,,-153,-41.92,0,0,0.735925,0.735925,30/01/2012,11:12:16
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1939,Desktop GSS,,,,,,,-62,-22.71,0,0,11.441,11.441,28/02/2012,11:27:27
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1940,Data Warehouse GSS,,,,,,,0,0,0,0,11.441,11.441,28/02/2012,11:27:27
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1941,Enterprise GSS,,,,,,,-62,-22.71,0,0,11.442,11.442,28/02/2012,11:27:27
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1942,FPS GSS,,,,,,,0,0,0,0,11.441,11.441,28/02/2012,11:27:27
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1943,HR GSS,,,,,,,0,0,0,0,11.441,11.441,28/02/2012,11:27:27
005-000000083,230,Department of Agriculture(5),Public Health Data Communications Infrastructure System (PHDCIS),1944,Network GSS,,,,,,,0,0,0,0,5.656,5.656,28/02/2012,11:27:28
005-000002148,231,Department of Agriculture(5),FSIS Public Health Information Consolidation Projects (PHICP),1746,Public Health Information System,,,,,,,0,0,0,0,0.00225,0.00225,28/02/2012,11:24:53
005-999991841,234,Department of Agriculture(5),Human Resources Line of Business:  Service Center,1769,WebTA,,,,,,,-184,-67.4,6.489,39.63,16.374,9.885,28/02/2012,14:17:14
005-999991841,234,Department of Agriculture(5),Human Resources Line of Business:  Service Center,1770,EmpowHR Migration,,,,,,,-184,-67.4,688.454,64.27,1071.255,382.801,28/02/2012,14:17:14
005-000002328,235,Department of Agriculture(5),IBS - Incident Business System,1767,Provision of O&M Services,,,,,,,0,0,0,0,2.7036,2.7036,23/09/2011,18:22:03
005-000000039,236,Department of Agriculture(5),Integrated Acquisition System (IAS) (OPPM),1099,eAuthentication,,,,,,,-139,-75.96,0,0,0.7,0.7,30/06/2012,14:58:03
005-000000039,236,Department of Agriculture(5),Integrated Acquisition System (IAS) (OPPM),1101,FMMI Conversion,,,,,,,-306,-223.36,0,0,0.15,0.15,28/02/2012,14:31:34
005-000000039,236,Department of Agriculture(5),Integrated Acquisition System (IAS) (OPPM),1102,Oracle Discoverer,,,,,,,-52,-29.05,0,0,0.35,0.35,30/06/2012,14:58:03
005-000000047,237,Department of Agriculture(5),Integrated Program Accounting System (IPAS),1104,IPAS Operations and Maintenance FY2012,,,,,,,0,0,0,0,8.210163,8.210172,01/08/2012,13:23:00
005-000002152,238,Department of Agriculture(5),NASS Survey Processing System,1105,Survey Processing Systems operations.,,,,,,,0,0,0,0,3.412,3.412,01/08/2012,13:23:05
005-000001659,239,Department of Agriculture(5),Animal Disease Traceability Information System (ADTIS),672,FISMA Compliance FY12.,,,,,,,-154,-84.62,0,0,0.03,0.03,28/02/2012,11:22:25
005-000001659,239,Department of Agriculture(5),Animal Disease Traceability Information System (ADTIS),673,FTE Support FY12.,,,,,,,-153,-36.96,0,0,0.7,0.7,28/02/2012,11:22:25
005-000001659,239,Department of Agriculture(5),Animal Disease Traceability Information System (ADTIS),674,Acquisition Support FY12.,,,,,,,0,0,0,0,1.017,1.017,31/05/2012,14:20:14
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1106,NRM Customer Relations Operations,,,,,,,0,0,0,0,4.884,4.884,30/11/2011,06:10:30
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1107,NRM Data Center Operations,,,,,,,0,0,0,0,7.018,7.018,30/11/2011,06:10:30
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1108,"NRM Release 5.7 (February, 2012)",,,,,,,-184,-121.85,0,0,6.958,6.958,30/04/2012,11:15:04
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1109,"NRM Release 5.8 (May, 2012)",,,,,,,-92,-101.1,0,0,4.175,4.175,30/04/2012,11:15:04
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1110,"NRM Release 5.9 (August, 2012)",,,,,,,0,0,0,0,4.175,4.175,22/09/2011,14:32:48
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1111,NRM Release 6.0 (September 2012),,,,,,,0,0,0,0,1.391,1.391,22/09/2011,14:32:49
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1112,FY2011 Year End Reporting,,,,,,,-244,-268.13,0,0,0.2,0.2,30/03/2012,07:09:11
005-000002223,242,Department of Agriculture(5),NRM - Natural Resource Manager,1113,FY2012 Year End Reporting,,,,,,,0,0,0,0,0.3,0.3,22/09/2011,14:32:49
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1686,Data Centers - Agency Availability and DR Capacity Buildout: Planning,,,,,,,0,0,0,0,0.540347,0.540347,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1687,Data Centers - Web Farm Hardware Refresh: Planning,,,,,,,0,0,0,0,0.835822,0.835822,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1688,Data Centers - Web Farm Hardware Refresh: Acquisition Phase 1,,,,,,,0,0,0,0,2.163072,2.163072,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1689,Enterprise Management - Network Capacity and Performance Monitoring: Acquisition,,,,,,,0,0,0,0,0.108154,0.108154,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1690,Enterprise Management - NOC: Planning,,,,,,,0,0,0,0,0.689479,0.689479,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1691,Enterprise Management - ITSM: Acquisition - Phase 1,,,,,,,0,0,0,0,1.622304,1.622304,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1692,Enterprise Management - Perimeter Security: Planning,,,,,,,0,0,0,0,0.627291,0.627291,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1693,Enterprise Management - Perimeter Security: Acquisition,,,,,,,0,0,0,0,1.232951,1.232951,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1694,Enterprise Management - Network Access Control: Planning,,,,,,,0,0,0,0,0.541523,0.541523,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1695,End User Devices - Thin Client: Planning,,,,,,,0,0,0,0,1.39304,1.39304,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1696,End User Devices - Enterprise User Mobility: Planning,,,,,,,0,0,0,0,0.182509,0.182509,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1697,End User Devices - End User Workstation Refresh: Acquisition - Phase 1,,,,,,,0,0,0,0,3.244608,3.244608,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1698,Office Environment - Network Acceleration: Planning,,,,,,,0,0,0,0,0.144069,0.144069,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1699,Office Environment - Network Acceleration: Acquisition - Phase 1,,,,,,,0,0,0,0,6.489216,6.489216,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1700,Office Environment - File Service Centralization (Current Capacity): Planning,,,,,,,0,0,0,0,0.115711,0.115711,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1701,Office Environment - File Service Centralization (Current Capacity): Acquisition - Phase 1,,,,,,,0,0,0,0,0.540768,0.540768,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1702,Office Environment - Domain Controller Backup: Planning,,,,,,,0,0,0,0,0.047588,0.047588,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1703,Office Environment - Domain Controller Backup: : Acquisition,,,,,,,0,0,0,0,0.547257,0.547257,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1704,Office Environment - eFax: Planning,,,,,,,0,0,0,0,0.146007,0.146007,30/01/2012,11:12:21
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1705,Office Environment - eFax: Acquisition,,,,,,,0,0,0,0,0.146007,0.146007,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1706,Office Environment - Managed Print Services: Planning,,,,,,,0,0,0,0,0.743556,0.743556,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1707,Office Environment - Alternative Network Connectivity: Planning,,,,,,,0,0,0,0,0.005408,0.005408,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1708,Office Environment - Alternative Network Connectivity: Acquisition,,,,,,,0,0,0,0,0.048669,0.048669,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1709,Office Environment - Network Device Refresh: Planning,,,,,,,0,0,0,0,2.858292,2.858292,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1710,Office Environment - Network Device Refresh: Acquisition - Phase 1,,,,,,,0,0,0,0,12.659379,12.659379,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1711,Office Environment - Optimized Telephony: Planning,,,,,,,0,0,0,0,0.636808,0.636808,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1712,Office Environment - Optimized Telephony: Acquisition - Phase 1,,,,,,,0,0,0,0,2.947186,2.947186,30/01/2012,11:12:22
005-000002321,243,Department of Agriculture(5),Optimized Computing Environment (OCE),1713,Office Environment - Domain Controller Refresh: Acquisition,,,,,,,0,0,0,0,2.595686,2.595686,30/01/2012,11:12:22
005-000000064,246,Department of Agriculture(5),RMA-01  Financial Management Systems (FMS),1657,"Hosting Apportionment, maintenance and software fixes",,,,,,,0,0,-0.5,-0.03,1947,1947.5,01/08/2012,13:23:39
005-000000067,247,Department of Agriculture(5),RMA-02  Corporate Insurance Information Systems (CIIS),1665,CIIS Hosting Maintenance and Operations,,,,,,,0,0,1.40E-04,0,6119,6118.99986,01/08/2012,13:23:42
005-000001430,248,Department of Agriculture(5),"RMA-04  Infrastructure Modernization, Support and Training (IMST)",2938,FY12 Infrastructure Operations and Maintenance,,,,,,,0,0,-155.74994,-4.27,3649.24997,3804.99991,01/08/2012,13:23:45
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1714,ITM Phase 3 Develop. New_11,,,,,,,-336,-560,0,0,0.813,0.813,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1715,2012 support service maint_12A,,,,,,,-154,-85.08,0,0,1.728,1.728,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1716,ITM Phase 3 Develop. New_12A,,,,,,,-154,-85.08,0,0,1.9,1.9,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1717,2012 support service maint_12B,,,,,,,0,0,0,0,1.728,1.728,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1718,ITM Phase 3 Develop. New_12B,,,,,,,0,0,0,0,1.9,1.9,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1719,2013 support service maint_13A,,,,,,,0,0,0,0,5.303,5.303,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1720,ITM Phase 3 Develop. New_13A,,,,,,,0,0,0,0,1.9,1.9,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1721,2013 support service maint_13B,,,,,,,0,0,0,0,5.303,5.303,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1722,ITM Phase 3 Develop. New_13B,,,,,,,0,0,0,0,1.9,1.9,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1723,2014 support service maint_14A,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1724,ITM Phase 3 Develop. New_14A,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1725,2014 support service maint_14B,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1726,ITM Phase 3 Develop. New_14B,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1727,2015 support service maint_15A,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1728,ITM Phase 3 Develop. New15A,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1729,2015 support service maint_15B,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000063,249,Department of Agriculture(5),RMA-13  Emerging Information Technology Architecture (EITA),1730,ITM Phase 3 Develop. New_15B,,,,,,,,0,,0,,,23/09/2011,15:57:23
005-000000028,250,Department of Agriculture(5),ROSS - Resource Ordering and Status System,1114,ROSS Operations and Maintenance (O&M),,,,,,,0,0,0.082498,1.01,8.127961,8.045463,31/05/2012,14:22:14
005-000000028,250,Department of Agriculture(5),ROSS - Resource Ordering and Status System,1115,ROSS Development Modernization and Enhancement (DME),,,,,,,0,0,0,0,7.52596,7.52596,30/06/2012,14:58:48
005-000000027,251,Department of Agriculture(5),Store Tracking and Redemption System (STARS),1116,STARS Operations and Maintenance,,,,,,,0,0,1.02E-04,0,5.470008,5.469906,01/08/2012,13:36:04
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1747,eAuth Modernization,,,,,,,-81,-16.98,4.00E-04,0.01,2.8474,2.847,01/08/2012,13:36:07
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1748,EEMS IDM Readiness,,,,,,,-323,-323,-5.00E-04,-0.86,0.058,0.0585,02/07/2012,06:27:17
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1749,ePACS: PIV-A,,,,,,,0,0,0,0,0.891,0.891,02/07/2012,06:27:17
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1750,ePACS: EEMS Integration,,,,,,,-185,-318.97,0,0,0.03,0.03,02/07/2012,06:27:17
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1752,ePACS: Visitor Management Solution,,,,,,,-62,-34.25,0,0,0.256,0.256,02/07/2012,06:27:17
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1753,Person Model Readiness,,,,,,,-15,-30.61,-0.002,-5.26,0.038,0.04,29/02/2012,10:04:16
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1754,FY11-Q1 O&amp;M,,,,,,,1,1.11,0.097,2.2,4.407,4.31,29/02/2012,10:04:16
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1755,FY11-Q2 O&amp;M,,,,,,,0,0,0.099,2.25,4.407,4.308,29/02/2012,10:04:16
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1756,FY11-Q3 O&amp;M,,,,,,,0,0,0.066,1.5,4.407,4.341,29/02/2012,10:04:16
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1757,FY11-Q4 O&amp;M,,,,,,,0,0,0,0,4.407,4.407,29/02/2012,10:04:16
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1758,FY12-Q1 O&amp;M,,,,,,,0,0,0,0,3.3034,3.3034,29/02/2012,10:04:17
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1759,FY12-Q2 O&amp;M,,,,,,,0,0,0,0,3.3034,3.3034,31/05/2012,14:22:20
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1760,FY12-Q3 O&amp;M,,,,,,,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:06
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,1761,FY12-Q4 O&amp;M,,,,,,,0,0,0,0,3.3034,3.3034,01/08/2012,13:36:06
005-000002224,252,Department of Agriculture(5),USDA Identity &amp; Access Management,2961,PKI 2.0,,,,,,,0,0,0,0,0.123,0.123,31/05/2012,14:22:20
005-000000018,253,Department of Agriculture(5),Web-Based Supply Chain Management (WBSCM),659,FY12 Operations,,,,,,,0,0,25.468195,100,25.468195,0,31/05/2012,15:23:08
005-000000018,253,Department of Agriculture(5),Web-Based Supply Chain Management (WBSCM),660,FY12 Business Assessment,,,,,,,0,0,2,100,2,0,31/05/2012,15:23:08
005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1396,FY12 Common Solutions,,,,,,,0,0,0.01599,1.31,1.22028,1.20429,01/08/2012,13:22:16
005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1397,FY12 Enterprise Architecture,,,,,,,0,0,0.084819,1.8,4.70754,4.622721,01/08/2012,13:22:16
005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1398,FY12 FTE Resources,,,,,,,0,0,0,0,4.282884,4.282884,01/08/2012,13:22:16
005-000001742,254,Department of Agriculture(5),"FSA Architecture, SDLC and Common IT Solutions  #0109",1399,FY12 Program Management,,,,,,,0,0,0.008668,0.4,2.149643,2.140975,01/08/2012,13:22:16
005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1653,NAIP 2011,,,,,,,0,0,4,24.35,16.43,12.43,28/02/2012,14:24:21
005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1654,NAIP 2012,,,,,,,0,0,0.92,100,0.92,0,31/05/2012,14:21:22
005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1655,Support Services 2011,,,,,,,0,0,0.07145,3.25,2.2,2.12855,28/02/2012,14:24:21
005-000000054,271,Department of Agriculture(5),Geographic Information System  (GIS) #84,1656,Support Services 2012,,,,,,,0,0,2.4,100,2.4,0,30/06/2012,14:57:55
005-000002276,369,Department of Agriculture(5),Enterprise Human Capital Management (EHCM),1738,Maintenance,,,,,,,-213,-116.39,5.3568,69.77,7.6778,2.321,30/06/2012,15:25:47
005-000002276,369,Department of Agriculture(5),Enterprise Human Capital Management (EHCM),1739,Maintenance2,,,,,,,0,0,5.972644,70.79,8.437644,2.465,30/06/2012,15:25:47
005-000000073,393,Department of Agriculture(5),AgPRS - USDA Public Safety Land Mobile Radio System,1646,AgPRS Life Cycle Replacement Project,,,,,,,0,0,0.36,3.33,10.8098,10.4498,30/06/2012,14:56:42
005-000000073,393,Department of Agriculture(5),AgPRS - USDA Public Safety Land Mobile Radio System,1647,AgPRS Operations and Maintenance Project,,,,,,,0,0,0.13575,2.95,4.6095,4.47375,30/06/2012,14:56:42
005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,1764,SR 20115337 Cloud Services,,,,,,,-382,-2247.06,0,0,0.4,0.4,01/08/2012,13:22:38
005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,1765,SR 20092856 DOI - USDA FS Access Authentication,,,,,,,-812,-339.75,0,0,300.6,300.6,31/10/2011,13:10:21
005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,1766,SR 20115259 Linc Pass 2 Factor Identification,,,,,,,-336,-300,0,0,300.5,300.5,31/10/2011,13:10:21
005-000000098,394,Department of Agriculture(5),Forest Service Computer Base,2829,SR 20093089 Telecommunications Ordering Project,,,,,,,-70,-8.73,0,0,0.14,0.14,30/06/2012,14:57:50
